DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegIBlo,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
44,F,2017,2017,La Negra 110,12,EtaMes,1.002651703,0.968697628,0.988459944,0.980034384,0.972050639,0.910315236,1.025626988,0.980380735,0.953235028,0.985270877,0.999007844,0.989801306
45,F,2017,2017,La Negra 110,13,EtaMes,1.005939389,1.162774953,0.935431671,1.102644715,1.005336411,1.103826394,1.020060642,1.091956054,1.124178837,0.990751222,1.010303159,1.029418823
46,F,2017,2017,La Negra 110,14,EtaMes,1.053286355,1.152182727,0.994010667,1.116300015,1.072725733,0.95980044,1.045716826,1.134641921,1.033595312,1.039756634,1.061657833,0.997248854
47,F,2017,2017,La Negra 110,15,EtaMes,1.178446659,1.194614475,1.135715793,1.206541329,1.163261487,1.28468612,1.19025771,1.169306283,1.251006739,1.121242092,1.111384354,1.185207641
48,F,2017,2017,La Negra 110,16,EtaMes,1.188644906,1.173602852,1.188030017,1.198190268,1.201581014,1.110927645,1.206461019,1.218495299,1.134905146,1.135128772,1.147373331,1.16070585
49,F,2018,2018,La Negra 110,1,EtaMes,1.086077409,1.058640158,1.070816357,1.096515226,1.074756593,1.152127326,1.104314853,1.080035326,1.16695649,1.066124941,1.050261564,1.064626712
50,F,2018,2018,La Negra 110,2,EtaMes,1.033851153,1.057651369,1.067926188,1.051836899,1.063785507,1.0260633,1.0866828,1.099299001,1.001881777,1.010450977,1.026246711,1.036168371
51,F,2018,2018,La Negra 110,3,EtaMes,0.956876925,0.907161175,0.921133281,0.97008173,0.949629781,1.046643908,0.960056245,0.961527847,1.046262051,0.972644062,0.969381043,0.937415704
52,F,2018,2018,La Negra 110,4,EtaMes,0.912178777,0.918834101,0.927225135,0.910997602,0.930767958,0.913876012,0.931744165,0.966031904,0.908211096,0.947198899,0.953401112,0.943164844
53,F,2018,2018,La Negra 110,5,EtaMes,0.914225653,0.863689762,0.876344311,0.885548133,0.869199101,0.996707502,0.845217747,0.921896561,0.989660945,0.936555514,0.928470784,0.923252285
54,F,2018,2018,La Negra 110,6,EtaMes,0.987913203,0.96401908,0.978754949,0.909516663,0.963283753,0.940977216,0.953964808,0.954987029,0.915920911,0.962089998,0.965858101,1.035561182
55,F,2018,2018,La Negra 110,7,EtaMes,0.919287895,0.930132869,0.920890991,0.958194193,0.927132666,1.005699288,0.820640948,0.908612537,0.967774128,0.922644112,0.884495321,0.890522514
