DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
64,F,2032,*,Calama 110,0,EtaMes,0.1454051,0.149874474,0.160362439,0.157866222,0.154815492,0.150438311,0.148269485,0.146603123,0.144584347,0.142280653,0.139745323,0.142421777
65,F,2017,2017,Centro 110,0,EtaMes,0.158610307,0.159291691,0.162341242,0.159139789,0.163463378,0.163784875,0.167352003,0.154484609,0.159062618,0.154541015,0.153423249,0.162470588
66,F,2018,2018,Centro 110,0,EtaMes,0.159716135,0.16039917,0.163451597,0.160230025,0.164574169,0.164901892,0.16850685,0.155539454,0.160145145,0.155254251,0.154136858,0.163219427
67,F,2019,2019,Centro 110,0,EtaMes,0.160445168,0.161128157,0.164181198,0.160947494,0.165306468,0.165639757,0.169268583,0.156240502,0.160866426,0.156026742,0.154909469,0.164029723
68,F,2020,2020,Centro 110,0,EtaMes,0.161233499,0.161916408,0.164969869,0.161722418,0.166096753,0.16643538,0.170089856,0.156995693,0.161643202,0.156630198,0.155512548,0.16466166
69,F,2021,2021,Centro 110,0,EtaMes,0.161847412,0.162530909,0.165584925,0.16232563,0.166710795,0.167052361,0.170726951,0.157580724,0.162245031,0.157252908,0.156135366,0.165314954
70,F,2022,2022,Centro 110,0,EtaMes,0.162482489,0.163167103,0.166222123,0.162951192,0.167348262,0.167693684,0.171389807,0.1581901,0.162872423,0.157824451,0.156706957,0.165914191
71,F,2023,2023,Centro 110,0,EtaMes,0.163064867,0.163749967,0.166805393,0.163523706,0.167931581,0.168280454,0.171995895,0.158747232,0.163445784,0.158362984,0.157245469,0.166478898
72,F,2024,2024,Centro 110,0,EtaMes,0.163613387,0.164300023,0.16735656,0.164064334,0.168481981,0.168833701,0.172568105,0.159272964,0.163987259,0.158753952,0.157636399,0.166888662
73,F,2025,2025,Centro 110,0,EtaMes,0.164011143,0.164698767,0.167755895,0.164455799,0.168880402,0.16923402,0.172981993,0.159653359,0.164379117,0.159004822,0.157887345,0.167151708
