CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,1,2,3,4,5,6,7,8,9,10,11,12
65,F,2016,2016,*,CARBON_CTH,CenCosVar,EtaMes,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88
66,F,2017,2017,*,CARBON_CTH,CenCosVar,EtaMes,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88
67,F,2018,2018,*,CARBON_CTH,CenCosVar,EtaMes,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88
68,F,2019,2019,*,CARBON_CTH,CenCosVar,EtaMes,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,96.88,97.85,97.85,97.85
69,F,2020,2020,*,CARBON_CTH,CenCosVar,EtaMes,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85
70,F,2021,2021,*,CARBON_CTH,CenCosVar,EtaMes,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,85.14,85.14,85.14
71,F,2022,2022,*,CARBON_CTH,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
72,F,2023,2023,*,CARBON_CTH,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
73,F,2024,2024,*,CARBON_CTH,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
74,F,2025,2025,*,CARBON_CTH,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
75,F,2026,2026,*,CARBON_CTH,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
76,F,2027,2027,*,CARBON_CTH,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
77,F,2028,2028,*,CARBON_CTH,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
78,F,2029,2029,*,CARBON_CTH,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
79,F,2030,2030,*,CARBON_CTH,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
80,F,2031,*,*,CARBON_CTH,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
81,F,2016,2016,*,CARBON_MEJILLONES,CenCosVar,EtaMes,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13
82,F,2017,2017,*,CARBON_MEJILLONES,CenCosVar,EtaMes,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13
83,F,2018,2018,*,CARBON_MEJILLONES,CenCosVar,EtaMes,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13
84,F,2019,2019,*,CARBON_MEJILLONES,CenCosVar,EtaMes,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,101.13,102.14,102.14,102.14
85,F,2020,2020,*,CARBON_MEJILLONES,CenCosVar,EtaMes,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14
86,F,2021,2021,*,CARBON_MEJILLONES,CenCosVar,EtaMes,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,102.14,85.14,85.14,85.14
87,F,2022,2022,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
88,F,2023,2023,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
89,F,2024,2024,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
90,F,2025,2025,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
91,F,2026,2026,*,CARBON_MEJILLONES,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
92,F,2027,2027,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
93,F,2028,2028,*,CARBON_MEJILLONES,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
94,F,2029,2029,*,CARBON_MEJILLONES,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
