CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
4,F,*,*,8,EOLICO SING I,CenPotMax,EtaMes,66.88522745,108.1563218,142.7237583,63.47151475,70.79827088,55.00064215,52.86894419,48.90638812,25.12812357,9.417481929,6.895755594,22.25679482
4,F,*,*,9,EOLICO SING I,CenPotMax,EtaMes,64.11690458,19.203425,145.2316461,14.60360976,188.7688649,38.77023116,97.24245488,35.99319611,48.19541371,63.58102557,66.11310348,59.1231038
4,F,*,*,10,EOLICO SING I,CenPotMax,EtaMes,64.11690458,19.203425,145.2316461,14.60360976,188.7688649,38.77023116,97.24245488,35.99319611,48.19541371,63.58102557,66.11310348,59.1231038
4,F,*,*,11,EOLICO SING I,CenPotMax,EtaMes,63.37641671,26.60264716,138.7407355,20.00711726,184.1680776,79.85943245,103.9001982,124.54413,110.3720705,113.0913378,108.8839857,79.11591099
4,F,*,*,12,EOLICO SING I,CenPotMax,EtaMes,63.37641671,26.60264716,138.7407355,20.00711726,184.1680776,79.85943245,103.9001982,124.54413,110.3720705,113.0913378,108.8839857,79.11591099
4,F,*,*,13,EOLICO SING I,CenPotMax,EtaMes,63.25248689,41.47651593,120.4680418,28.22145978,174.6697563,114.2493808,116.033353,38.87408555,27.76134036,33.71605289,19.37851859,33.88863052
4,F,*,*,14,EOLICO SING I,CenPotMax,EtaMes,63.25248689,41.47651593,120.4680418,28.22145978,174.6697563,114.2493808,116.033353,38.87408555,27.76134036,33.71605289,19.37851859,33.88863052
4,F,*,*,15,EOLICO SING I,CenPotMax,EtaMes,3.735677033,9.260828946,55.62270302,86.7657265,83.80209981,37.68691883,44.02917485,14.27463982,2.579316424,8.942584275,22.84209063,2.768376815
4,F,*,*,16,EOLICO SING I,CenPotMax,EtaMes,3.735677033,9.260828946,55.62270302,86.7657265,83.80209981,37.68691883,44.02917485,14.27463982,2.579316424,8.942584275,22.84209063,2.768376815
5,F,*,*,1,EOLICO SING IV,CenPotMax,EtaMes,36.42130866,71.49870712,115.7545114,167.1670341,52.92698379,86.15064507,73.48851082,53.07137254,30.81853403,35.98005806,8.676242624,24.03107736
5,F,*,*,2,EOLICO SING IV,CenPotMax,EtaMes,36.42130866,71.49870712,115.7545114,167.1670341,52.92698379,86.15064507,73.48851082,53.07137254,30.81853403,35.98005806,8.676242624,24.03107736
5,F,*,*,3,EOLICO SING IV,CenPotMax,EtaMes,120.0052069,172.9232334,49.17807165,157.6024472,57.08480125,161.7099491,90.63013985,113.7761594,99.70306734,64.72693271,13.32360858,127.4170848
5,F,*,*,4,EOLICO SING IV,CenPotMax,EtaMes,120.0052069,172.9232334,49.17807165,157.6024472,57.08480125,161.7099491,90.63013985,113.7761594,99.70306734,64.72693271,13.32360858,127.4170848
5,F,*,*,5,EOLICO SING IV,CenPotMax,EtaMes,162.4094725,187.6948146,76.25740613,185.6353991,98.59298046,181.3828655,110.0841641,169.806995,145.0438638,104.0010607,31.97458037,135.647221
5,F,*,*,6,EOLICO SING IV,CenPotMax,EtaMes,162.4094725,187.6948146,76.25740613,185.6353991,98.59298046,181.3828655,110.0841641,169.806995,145.0438638,104.0010607,31.97458037,135.647221
5,F,*,*,7,EOLICO SING IV,CenPotMax,EtaMes,66.88522745,108.1563218,142.7237583,63.47151475,70.79827088,55.00064215,52.86894419,48.90638812,25.12812357,9.417481929,6.895755594,22.25679482
5,F,*,*,8,EOLICO SING IV,CenPotMax,EtaMes,66.88522745,108.1563218,142.7237583,63.47151475,70.79827088,55.00064215,52.86894419,48.90638812,25.12812357,9.417481929,6.895755594,22.25679482
5,F,*,*,9,EOLICO SING IV,CenPotMax,EtaMes,64.11690458,19.203425,145.2316461,14.60360976,188.7688649,38.77023116,97.24245488,35.99319611,48.19541371,63.58102557,66.11310348,59.1231038
5,F,*,*,10,EOLICO SING IV,CenPotMax,EtaMes,64.11690458,19.203425,145.2316461,14.60360976,188.7688649,38.77023116,97.24245488,35.99319611,48.19541371,63.58102557,66.11310348,59.1231038
5,F,*,*,11,EOLICO SING IV,CenPotMax,EtaMes,63.37641671,26.60264716,138.7407355,20.00711726,184.1680776,79.85943245,103.9001982,124.54413,110.3720705,113.0913378,108.8839857,79.11591099
5,F,*,*,12,EOLICO SING IV,CenPotMax,EtaMes,63.37641671,26.60264716,138.7407355,20.00711726,184.1680776,79.85943245,103.9001982,124.54413,110.3720705,113.0913378,108.8839857,79.11591099
5,F,*,*,13,EOLICO SING IV,CenPotMax,EtaMes,63.25248689,41.47651593,120.4680418,28.22145978,174.6697563,114.2493808,116.033353,38.87408555,27.76134036,33.71605289,19.37851859,33.88863052
5,F,*,*,14,EOLICO SING IV,CenPotMax,EtaMes,63.25248689,41.47651593,120.4680418,28.22145978,174.6697563,114.2493808,116.033353,38.87408555,27.76134036,33.71605289,19.37851859,33.88863052
5,F,*,*,15,EOLICO SING IV,CenPotMax,EtaMes,3.735677033,9.260828946,55.62270302,86.7657265,83.80209981,37.68691883,44.02917485,14.27463982,2.579316424,8.942584275,22.84209063,2.768376815
5,F,*,*,16,EOLICO SING IV,CenPotMax,EtaMes,3.735677033,9.260828946,55.62270302,86.7657265,83.80209981,37.68691883,44.02917485,14.27463982,2.579316424,8.942584275,22.84209063,2.768376815
