DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndIBlo,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
61,F,2018,2018,Alto Norte 110,13,EtaMes,1.037652794,1.071271621,1.044164723,1.044265943,1.026262925,1.156510883,1.040441862,1.083128253,1.178753354,1.072545282,1.085078225,1.082973207
62,F,2018,2018,Alto Norte 110,14,EtaMes,1.023775274,1.010995679,1.014337823,0.97956692,0.990814965,0.926011593,1.00948401,1.00497253,0.972230548,1.034470745,1.039382425,1.021740666
63,F,2018,2018,Alto Norte 110,15,EtaMes,1.063647724,1.038729378,1.058191238,1.058688432,1.040395189,1.152492624,1.016640492,1.018042519,1.146184798,1.03940299,1.024585144,1.057849417
64,F,2018,2018,Alto Norte 110,16,EtaMes,1.019332224,1.010142091,1.031295338,1.003457356,1.015019146,0.954204434,1.028033238,0.984853179,0.948591871,0.985930282,0.989474798,1.005109461
65,F,2019,2019,Alto Norte 110,1,EtaMes,1.023514072,1.01249319,0.994534487,1.003976959,1.008895911,1.065818656,0.996136327,0.960451675,1.087753549,1.019283575,0.976776139,1.003841048
66,F,2019,2019,Alto Norte 110,2,EtaMes,0.983364852,0.989071917,0.988415425,0.9814047,0.972584514,0.924438963,1.010425932,0.965937092,0.930666032,0.98769183,0.987709123,0.970153686
67,F,2019,2019,Alto Norte 110,3,EtaMes,1.007427318,0.990143454,0.995170684,0.998915852,1.040967356,1.078122593,1.009585464,0.982712172,1.089952142,1.015409572,1.000589518,1.016915634
68,F,2019,2019,Alto Norte 110,4,EtaMes,0.987789435,1.005449342,0.985980525,1.00912754,0.988924624,0.927819113,0.988366034,0.990507996,0.918330393,0.978957602,0.977432286,0.986317916
69,F,2019,2019,Alto Norte 110,5,EtaMes,0.998153509,1.022113674,0.991473028,1.018085463,1.027491207,1.087213548,1.00127528,1.009958809,1.139538251,1.001559702,0.999096362,1.006469106
70,F,2019,2019,Alto Norte 110,6,EtaMes,0.963426612,0.99636307,0.990831047,1.007554063,1.008526092,0.950518124,1.001450471,1.015759734,0.958814676,0.966937278,0.976829416,0.980440853
71,F,2019,2019,Alto Norte 110,7,EtaMes,1.049786067,1.025632831,0.999917102,1.037679234,1.035239895,1.10385099,1.018225536,1.033103467,1.128870081,1.011349914,1.026576034,1.021472098
72,F,2019,2019,Alto Norte 110,8,EtaMes,0.96998339,0.986924001,0.98062008,0.981015542,0.982772095,0.956729139,0.981044608,1.025667803,0.957856106,0.971225911,0.993031206,0.98474255
73,F,2019,2019,Alto Norte 110,9,EtaMes,1.065842441,1.042307972,1.030786166,1.038906419,1.042883635,1.140126543,1.039966624,1.046119386,1.130730319,1.076764159,1.027927985,1.069783622
74,F,2019,2019,Alto Norte 110,10,EtaMes,0.97255473,0.953591533,0.96487998,0.951279529,0.955592873,0.930388555,0.965659679,0.974517812,0.925162753,0.974214717,0.985461077,0.950669191
75,F,2019,2019,Alto Norte 110,11,EtaMes,1.047051774,1.037279826,1.052432298,1.051553008,1.022068875,1.146163664,1.04311216,1.069901703,1.13870664,1.048815111,1.060252651,1.069144081
76,F,2019,2019,Alto Norte 110,12,EtaMes,1.006214148,0.96087058,1.001085391,0.957453824,0.961177163,0.930006779,0.977782654,0.952222627,0.947811517,0.98359054,1.001420918,0.967147495
77,F,2019,2019,Alto Norte 110,13,EtaMes,1.037648846,1.071272925,1.0441733,1.044251672,1.026255149,1.156510095,1.040439076,1.083123533,1.178759567,1.072554209,1.085082497,1.08298332
78,F,2019,2019,Alto Norte 110,14,EtaMes,1.023774383,1.0109938,1.01434143,0.979565046,0.990812584,0.926011447,1.009484984,1.004971563,0.972234655,1.034471849,1.039382121,1.021739447
79,F,2019,2019,Alto Norte 110,15,EtaMes,1.063639816,1.038728891,1.058192775,1.058687563,1.04039597,1.152492163,1.016642407,1.01804025,1.146187565,1.039404461,1.024589833,1.057849026
80,F,2019,2019,Alto Norte 110,16,EtaMes,1.019333228,1.010137747,1.031293196,1.003457801,1.015019195,0.954203694,1.028029295,0.984850987,0.94859163,0.985929794,0.989473804,1.005109296
81,F,2020,2020,Alto Norte 110,1,EtaMes,1.023512311,1.01249625,0.994536,1.003968911,1.008898879,1.065821082,0.996134605,0.960455224,1.087755078,1.019284395,0.976781816,1.003843616
82,F,2020,2020,Alto Norte 110,2,EtaMes,0.983364585,0.98907501,0.988416823,0.98140583,0.972584345,0.92443863,1.010425039,0.965936112,0.930665953,0.987691173,0.987712658,0.970152161
83,F,2020,2020,Alto Norte 110,3,EtaMes,1.00743052,0.99014155,0.995169799,0.998916187,1.040967258,1.078122506,1.009584113,0.982712396,1.089951667,1.015412245,1.000585215,1.016915663
84,F,2020,2020,Alto Norte 110,4,EtaMes,0.987791063,1.005449606,0.985981602,1.009127678,0.988925324,0.927819263,0.988366324,0.990506955,0.918331862,0.978954689,0.977431729,0.986318553
85,F,2020,2020,Alto Norte 110,5,EtaMes,0.998155994,1.022111862,0.991476412,1.018087526,1.027485,1.087214862,1.0012763,1.009956525,1.139537307,1.001564588,0.999087473,1.006463625
86,F,2020,2020,Alto Norte 110,6,EtaMes,0.963426516,0.996364641,0.990831295,1.007555158,1.008526168,0.950519232,1.001450664,1.015762367,0.95881635,0.966939005,0.976827283,0.980444532
87,F,2020,2020,Alto Norte 110,7,EtaMes,1.049782703,1.025629769,0.999913859,1.037675895,1.035237774,1.10384706,1.018226054,1.03310046,1.128872151,1.01135121,1.026568362,1.02147368
88,F,2020,2020,Alto Norte 110,8,EtaMes,0.96998246,0.98692264,0.980619777,0.981017645,0.982773235,0.956727612,0.981043499,1.025669849,0.957855165,0.971227561,0.993029642,0.984745547
89,F,2020,2020,Alto Norte 110,9,EtaMes,1.065842198,1.042307846,1.030783257,1.038902813,1.042884059,1.140129125,1.039970804,1.046117388,1.130728601,1.076764569,1.027928557,1.069783854
90,F,2020,2020,Alto Norte 110,10,EtaMes,0.972555114,0.95359136,0.964879496,0.951279048,0.955593205,0.930388327,0.96565933,0.97451706,0.925161592,0.974214234,0.985462224,0.950669258
91,F,2020,2020,Alto Norte 110,11,EtaMes,1.047055338,1.037281503,1.05242296,1.051546709,1.022065474,1.14616113,1.04311543,1.069906898,1.138706165,1.048821342,1.060254183,1.069143851
92,F,2020,2020,Alto Norte 110,12,EtaMes,1.006210401,0.960865762,1.001085255,0.957457041,0.961176629,0.930006095,0.977782201,0.95222306,0.947810955,0.983586136,1.001422345,0.967145484
