DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
80,F,2032,*,Centro 110,0,F,EtaMes,6.399994841,6.255072374,5.907232107,5.956829703,5.984855327,5.805689975,6.373634263,6.469697889,6.869452806,7.08698813,6.722307816,7.014593124
81,F,2017,2017,Chacaya 220,0,F,EtaMes,15.0709037,16.3353945,15.59632329,16.64089585,15.96929498,16.65321599,16.22167935,16.11721401,15.75630998,17.37606995,16.16455656,18.19363913
82,F,2018,2018,Chacaya 220,0,F,EtaMes,17.02975755,18.48865355,17.64780761,18.85889474,18.06049352,18.42798045,17.94767657,17.82671152,17.43250414,17.82327483,16.56493518,18.63467213
83,F,2019,2019,Chacaya 220,0,F,EtaMes,17.46091941,18.92745947,18.07430378,19.29490569,18.50253165,18.84858704,18.39056635,18.25185713,17.87928299,19.59189209,18.66507849,20.53150117
84,F,2020,2020,Chacaya 220,0,F,EtaMes,19.20792342,20.86972856,19.91684955,21.29584579,20.37898883,20.81169828,20.24885181,20.12187286,19.65732686,20.20942083,18.80385358,21.16638426
85,F,2021,2021,Chacaya 220,0,F,EtaMes,19.8082318,21.51169818,20.53165842,21.94506492,21.01053754,21.4448495,20.87848547,20.74106516,20.27547696,21.53936714,20.05626975,22.58534089
86,F,2022,2022,Chacaya 220,0,F,EtaMes,21.11859763,22.9627736,21.90931255,23.4364492,22.41499836,22.90744253,22.27066369,22.13819689,21.61156737,21.29200348,19.80538139,22.29020914
87,F,2023,2023,Chacaya 220,0,F,EtaMes,20.86669803,22.65040505,21.62130216,23.10244857,22.1276459,22.573849,21.98990278,21.83973369,21.36090643,22.47916923,21.41934233,23.56720392
88,F,2024,2024,Chacaya 220,0,F,EtaMes,22.04124237,23.95885948,22.86215421,24.45228844,23.39059992,23.89835796,23.23990577,23.09956409,22.55494042,23.79896056,22.16953802,24.97076822
89,F,2025,2025,Chacaya 220,0,F,EtaMes,23.33826986,25.39360725,24.22411025,25.9242675,24.77993294,25.34231838,24.61823436,24.4805301,23.8798467,23.78322698,22.13379421,24.91758141
90,F,2026,2026,Chacaya 220,0,F,EtaMes,23.31323094,25.32690569,24.17075816,25.84060501,24.73284559,25.2532262,24.57631521,24.41898234,23.86152785,24.5829391,22.8757253,25.75140307
91,F,2027,2027,Chacaya 220,0,F,EtaMes,24.09608271,26.17303557,24.97939541,26.70218161,25.56111233,26.0944128,25.39987515,25.23508358,24.66359443,25.50704131,23.73572056,26.71954973
92,F,2028,2028,Chacaya 220,0,F,EtaMes,25.00191498,27.15707536,25.91852354,27.7061672,26.52208611,27.07557073,26.35477121,26.18384969,25.5907369,26.48290651,24.64503896,27.74392858
93,F,2029,2029,Chacaya 220,0,F,EtaMes,25.9590114,28.19896005,26.91229437,28.77002159,27.53856425,28.11563617,27.36455492,27.18823649,26.56995084,26.86051114,24.99727738,28.14097255
94,F,2030,2030,Chacaya 220,0,F,EtaMes,26.32952841,28.60301858,27.29750676,29.18288335,27.93244242,28.51939872,27.75575063,27.57770267,26.9488973,27.12556384,25.24407808,28.41889344
95,F,2031,2031,Chacaya 220,0,F,EtaMes,26.58940254,28.88558286,27.56710872,29.47127506,28.20826765,28.80128027,28.02980017,27.8501205,27.21483826,27.79734856,25.86856672,29.12149142
96,F,2032,*,Chacaya 220,0,F,EtaMes,27.24758996,29.59929961,28.24858976,30.19894578,28.90584753,29.51216514,28.72312811,28.53834423,27.88874992,28.77160408,26.77514504,30.1420235
97,F,2017,2017,Chapiquiña 066,0,F,EtaMes,0.00883707,0.010010814,0.010619238,0.011447325,0.01144318,0.009648578,0.009557397,0.008132491,0.00765918,0.009908532,0.005573438,0.006053666
98,F,2018,2018,Chapiquiña 066,0,F,EtaMes,0.010240897,0.011601099,0.012306176,0.013265809,0.013261006,0.011181319,0.011075654,0.009424392,0.008875893,0.009833732,0.005531363,0.006007967
99,F,2019,2019,Chapiquiña 066,0,F,EtaMes,0.010163588,0.011513522,0.012213276,0.013165665,0.013160898,0.011096911,0.010992043,0.009353247,0.008808888,0.011374954,0.006398284,0.006949584
100,F,2020,2020,Chapiquiña 066,0,F,EtaMes,0.011756509,0.013318015,0.01412744,0.015229095,0.015223582,0.012836109,0.012714806,0.010819164,0.010189489,0.011597921,0.0065237,0.007085807
101,F,2021,2021,Chapiquiña 066,0,F,EtaMes,0.011986954,0.013579068,0.014404359,0.015527609,0.015521987,0.013087717,0.012964036,0.011031236,0.010389219,0.012676682,0.007130491,0.007744881
102,F,2022,2022,Chapiquiña 066,0,F,EtaMes,0.0131019,0.014842102,0.015744156,0.016971883,0.016965738,0.014305048,0.014169863,0.012057288,0.011355554,0.012097756,0.006804852,0.007391184
103,F,2023,2023,Chapiquiña 066,0,F,EtaMes,0.012503556,0.014164285,0.015025143,0.016196802,0.016190938,0.013651758,0.013522746,0.011506649,0.010836962,0.013171802,0.00740899,0.008047377
104,F,2024,2024,Chapiquiña 066,0,F,EtaMes,0.013613629,0.015421799,0.016359085,0.017634764,0.017628379,0.014863769,0.014723304,0.012528216,0.011799074,0.014201726,0.007988311,0.008676614
105,F,2025,2025,Chapiquiña 066,0,F,EtaMes,0.0146781,0.016627653,0.017638227,0.019013654,0.019006769,0.01602599,0.015874542,0.013507817,0.012721662,0.013747811,0.007732989,0.008399293
106,F,2026,2026,Chapiquiña 066,0,F,EtaMes,0.01420896,0.016096201,0.017074475,0.01840594,0.018399276,0.015513769,0.015367161,0.013076081,0.012315054,0.014161202,0.007965517,0.008651856
107,F,2027,2027,Chapiquiña 066,0,F,EtaMes,0.014636217,0.016580207,0.017587897,0.018959399,0.018952535,0.015980261,0.015829245,0.013469273,0.012685362,0.014694999,0.008265772,0.008977982
108,F,2028,2028,Chapiquiña 066,0,F,EtaMes,0.015187919,0.017205187,0.018250861,0.019674061,0.019666938,0.016582626,0.016425917,0.013976988,0.013163528,0.01528296,0.008596493,0.0093372
109,F,2029,2029,Chapiquiña 066,0,F,EtaMes,0.015795603,0.017893583,0.018981096,0.020461239,0.020453831,0.017246113,0.017083135,0.014536221,0.013690214,0.015518556,0.008729013,0.009481138
