DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
45,F,2031,*,Alto Jahuel 154,0,EtaMes,0.040376455,0.038677083,0.038479793,0.037584178,0.036691512,0.036953176,0.036768328,0.03816604,0.038499531,0.037196335,0.03988693,0.040887589
46,F,2017,2017,Ancoa 220,0,EtaMes,0.001079202,0.001112678,0.001083426,0.001029926,0.001075173,0.001152066,0.001217807,0.00123105,0.001404862,0.001634924,0.001515702,0.001324095
47,F,2018,2018,Ancoa 220,0,EtaMes,0.001139513,0.00117032,0.001140471,0.001096123,0.001145724,0.001232241,0.001299156,0.001311454,0.001488848,0.001699808,0.001573323,0.001357134
48,F,2019,2019,Ancoa 220,0,EtaMes,0.001164096,0.001185993,0.001155038,0.001097165,0.001150153,0.001243119,0.001309191,0.001319209,0.001500536,0.001720329,0.001592001,0.001373557
49,F,2020,2020,Ancoa 220,0,EtaMes,0.001178683,0.001201393,0.001170269,0.001111685,0.001165147,0.001258898,0.001325573,0.001335577,0.001518616,0.001737493,0.001607716,0.001387339
50,F,2021,2021,Ancoa 220,0,EtaMes,0.001190832,0.001214112,0.001182716,0.001123587,0.001177516,0.001272064,0.001339261,0.001349213,0.001533723,0.001750621,0.001619808,0.001397773
51,F,2022,2022,Ancoa 220,0,EtaMes,0.001199746,0.001223325,0.001191632,0.001132057,0.001186421,0.001281677,0.001349342,0.001359299,0.001545112,0.001762881,0.001631138,0.00140755
52,F,2023,2023,Ancoa 220,0,EtaMes,0.001208104,0.001231958,0.001199945,0.001139994,0.001194765,0.001290699,0.001358783,0.001368726,0.001555764,0.001774174,0.001641571,0.001416559
53,F,2024,2024,Ancoa 220,0,EtaMes,0.001215844,0.001239969,0.001207666,0.001147378,0.001202517,0.001299072,0.00136753,0.001377438,0.00156558,0.001781309,0.001648171,0.001422282
54,F,2025,2025,Ancoa 220,0,EtaMes,0.00122078,0.001245087,0.001212586,0.001152094,0.001207467,0.001304419,0.001373108,0.001382973,0.001571796,0.001784793,0.00165141,0.001425067
55,F,2026,2026,Ancoa 220,0,EtaMes,0.001223163,0.001247564,0.001214938,0.001154359,0.001209855,0.001307009,0.001375795,0.00138562,0.001574784,0.001787818,0.00165423,0.001427492
56,F,2027,2027,Ancoa 220,0,EtaMes,0.001225256,0.001249747,0.001217005,0.001156354,0.001211956,0.001309286,0.00137814,0.001387921,0.001577371,0.001790475,0.001656708,0.001429625
57,F,2028,2028,Ancoa 220,0,EtaMes,0.001227117,0.001251695,0.001218848,0.00115814,0.001213835,0.001311317,0.001380222,0.001389949,0.001579638,0.001792767,0.001658849,0.001431473
58,F,2029,2029,Ancoa 220,0,EtaMes,0.001228745,0.001253409,0.001220467,0.001159717,0.001215489,0.001313102,0.001382042,0.00139171,0.001581592,0.001794648,0.00166061,0.001433
59,F,2030,2030,Ancoa 220,0,EtaMes,0.001230118,0.001254865,0.001221843,0.001161064,0.001216898,0.001314617,0.001383574,0.001393175,0.001583195,0.00179623,0.001662092,0.0014343
60,F,2031,*,Ancoa 220,0,EtaMes,0.001231323,0.001256152,0.001223067,0.001162269,0.00121815,0.001315958,0.001384925,0.001394449,0.001584557,0.001797423,0.001663216,0.001435292
61,F,2017,2017,Rahue 220,0,EtaMes,0.017552734,0.017548534,0.016911098,0.017026314,0.018366089,0.019544168,0.020037868,0.019519675,0.01889833,0.020159009,0.019413798,0.018873329
62,F,2018,2018,Rahue 220,0,EtaMes,0.018508226,0.018433742,0.017777725,0.018091914,0.019540146,0.020871619,0.02134111,0.020759362,0.019993385,0.020786951,0.019981448,0.019187571
63,F,2019,2019,Rahue 220,0,EtaMes,0.018762417,0.018538812,0.017865675,0.017963085,0.019458245,0.020887319,0.021332918,0.020714074,0.019990832,0.020854188,0.020036724,0.019252115
64,F,2020,2020,Rahue 220,0,EtaMes,0.018846007,0.018631498,0.01795714,0.018050863,0.019549828,0.020983396,0.021424356,0.020798788,0.020062943,0.020838838,0.020014121,0.019241887
65,F,2021,2021,Rahue 220,0,EtaMes,0.018855841,0.018648328,0.017973449,0.018063391,0.019561816,0.020997989,0.021433324,0.020802603,0.020057018,0.020781211,0.019951823,0.019192925
66,F,2022,2022,Rahue 220,0,EtaMes,0.018828335,0.0186253,0.017950587,0.01803499,0.019531507,0.020972108,0.021402079,0.020766916,0.020013184,0.020731768,0.019897585,0.019152026
67,F,2023,2023,Rahue 220,0,EtaMes,0.018809533,0.018610779,0.017935497,0.018014963,0.019510276,0.020956679,0.021381188,0.020740875,0.019978153,0.020678774,0.019839692,0.019107607
68,F,2024,2024,Rahue 220,0,EtaMes,0.018787635,0.018593339,0.017917769,0.017992426,0.019486198,0.02093822,0.021357158,0.020711656,0.019939734,0.020611828,0.019769387,0.019049358
69,F,2025,2025,Rahue 220,0,EtaMes,0.018746045,0.018555482,0.017880251,0.017950491,0.019440709,0.020893963,0.021307775,0.020659861,0.019883332,0.020574074,0.019727484,0.019017656
70,F,2026,2026,Rahue 220,0,EtaMes,0.018728642,0.018540917,0.017865341,0.017931293,0.019419811,0.020875251,0.021284911,0.020634558,0.019853759,0.020545752,0.01969448,0.018994889
71,F,2027,2027,Rahue 220,0,EtaMes,0.01872119,0.018536316,0.017860161,0.01792179,0.019409425,0.020868239,0.021273769,0.020620339,0.01983409,0.020513931,0.019658089,0.018968719
72,F,2028,2028,Rahue 220,0,EtaMes,0.018710183,0.018528209,0.017851637,0.017909069,0.019395474,0.02085725,0.021258544,0.020602197,0.0198107,0.020478991,0.019618704,0.018939539
73,F,2029,2029,Rahue 220,0,EtaMes,0.018695942,0.018516923,0.017840089,0.017893398,0.01937826,0.020842612,0.021239608,0.020580521,0.019784,0.020437249,0.019572841,0.018903831
74,F,2030,2030,Rahue 220,0,EtaMes,0.01867465,0.018498644,0.017821813,0.017871105,0.019353771,0.020819875,0.021212485,0.020551069,0.019750115,0.020380238,0.019512525,0.018853518
75,F,2031,*,Rahue 220,0,EtaMes,0.018637272,0.018464352,0.017788033,0.017833461,0.019312514,0.020778402,0.021166463,0.020503744,0.019699984,0.020326787,0.019455521,0.018806565
