DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
55,F,2026,2026,Altamirano 110,0,EtaMes,0.010230268,0.010653511,0.010603859,0.010879944,0.010729701,0.010517925,0.010196048,0.010309357,0.009804788,0.009411941,0.007858933,0.008335639
56,F,2027,2027,Altamirano 110,0,EtaMes,0.010220384,0.010643611,0.010593565,0.010869693,0.010719627,0.010508056,0.010186027,0.010298716,0.009794414,0.00940117,0.007850056,0.008326232
57,F,2028,2028,Altamirano 110,0,EtaMes,0.010209204,0.010632385,0.010581963,0.010858136,0.010708251,0.010496893,0.010174747,0.010286779,0.009782774,0.009389259,0.007840211,0.008315803
58,F,2029,2029,Altamirano 110,0,EtaMes,0.010196802,0.010619916,0.010569138,0.010845332,0.010695632,0.010484496,0.01016228,0.010273634,0.009769968,0.009375679,0.007828952,0.00830388
59,F,2030,2030,Altamirano 110,0,EtaMes,0.010182629,0.01060563,0.010554533,0.010830712,0.0106812,0.010470311,0.010148104,0.010258748,0.00975546,0.009359803,0.007815747,0.008289931
60,F,2031,*,Altamirano 110,0,EtaMes,0.010166071,0.01058889,0.010537547,0.01081365,0.01066434,0.010453736,0.010131669,0.010241551,0.009738662,0.009343024,0.007801774,0.008275151
61,F,2017,2017,Alto Jahuel 110,0,EtaMes,0.011205764,0.010386967,0.009917627,0.00987328,0.0099532,0.01000941,0.009857639,0.010674696,0.011030439,0.011120833,0.01202806,0.012336367
62,F,2018,2018,Alto Jahuel 110,0,EtaMes,0.01162797,0.010736607,0.010259976,0.01032693,0.01042349,0.010521306,0.010334462,0.011175273,0.011487426,0.011528102,0.012448699,0.012607356
63,F,2019,2019,Alto Jahuel 110,0,EtaMes,0.011844789,0.010849172,0.010361394,0.010307332,0.010433856,0.010583703,0.01038418,0.011208712,0.011543732,0.011642367,0.012569809,0.012733223
64,F,2020,2020,Alto Jahuel 110,0,EtaMes,0.011968857,0.010967662,0.010476898,0.010422792,0.010548486,0.010696191,0.010492415,0.011324176,0.011658184,0.011736186,0.012669966,0.012837048
65,F,2021,2021,Alto Jahuel 110,0,EtaMes,0.012070393,0.011063703,0.01056938,0.010515598,0.010641284,0.010788461,0.010581299,0.011418626,0.011752062,0.011767059,0.012703294,0.012871448
66,F,2022,2022,Alto Jahuel 110,0,EtaMes,0.012103765,0.011095294,0.010599516,0.010545733,0.010671655,0.010818875,0.010610305,0.011448977,0.011782061,0.011802024,0.012741301,0.012910501
67,F,2023,2023,Alto Jahuel 110,0,EtaMes,0.012141383,0.011130672,0.01063288,0.010579424,0.010705656,0.010853142,0.010643021,0.011483263,0.011816299,0.011845713,0.012788613,0.0129589
