INum,SecFOpe,SecIIni,SecIFin,SecFecIni,SecFecFin,SecIBlo,EstFPri,EstFDep,EleTip,EleNom,EleFOpe,EleOpePro,EleOpePotMax,EleOpeCosVar,EleOpeCenRen,EleOpeCosOpe
81,T,6,6,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
82,T,6,6,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
83,T,6,6,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
84,T,7,7,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,2.21E-04,*,*,*,*
85,T,7,7,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
86,T,7,7,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
87,T,7,7,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
88,T,7,7,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
89,T,7,7,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
90,T,7,7,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
91,T,7,7,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
92,T,7,7,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
93,T,7,7,*,*,*,F,T,LinSis,Arica 66 -> Parinacota 66,F,1,*,*,*,*
94,T,7,7,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,F,1,*,*,*,*
95,T,7,7,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
96,T,7,7,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
97,T,7,7,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
98,T,7,7,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
99,T,7,7,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
100,T,7,7,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
101,T,8,8,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,1.30E-04,*,*,*,*
102,T,8,8,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
103,T,8,8,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
104,T,8,8,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
105,T,8,8,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
106,T,8,8,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
107,T,8,8,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
108,T,8,8,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
109,T,8,8,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
110,T,8,8,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
111,T,8,8,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,F,1,*,*,*,*
112,T,8,8,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
113,T,8,8,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
114,T,8,8,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
115,T,8,8,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
116,T,8,8,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
117,T,9,9,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,1.30E-04,*,*,*,*
118,T,9,9,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
119,T,9,9,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
120,T,9,9,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
121,T,9,9,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
122,T,9,9,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
123,T,9,9,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
124,T,9,9,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
125,T,9,9,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
126,T,9,9,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
127,T,9,9,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
128,T,9,9,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,F,1,*,*,*,*
129,T,9,9,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
130,T,9,9,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
131,T,9,9,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
132,T,9,9,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
133,T,10,10,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,2.21E-04,*,*,*,*
134,T,10,10,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
135,T,10,10,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
136,T,10,10,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
137,T,10,10,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
138,T,10,10,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
139,T,10,10,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
140,T,10,10,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
141,T,10,10,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
142,T,10,10,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
143,T,10,10,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
144,T,10,10,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
145,T,10,10,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,F,1,*,*,*,*
146,T,10,10,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
147,T,10,10,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,F,1,*,*,*,*
148,T,10,10,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
149,T,11,11,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,2.21E-04,*,*,*,*
150,T,11,11,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
151,T,11,11,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
152,T,11,11,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
153,T,11,11,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
154,T,11,11,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
155,T,11,11,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
156,T,11,11,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
157,T,11,11,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
158,T,11,11,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
159,T,11,11,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
160,T,11,11,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
161,T,11,11,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
162,T,11,11,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,F,1,*,*,*,*
163,T,11,11,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
164,T,11,11,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
165,T,12,12,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000153056,*,*,*,*
166,T,12,12,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
167,T,12,12,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,F,1,*,*,*,*
168,T,12,12,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
169,T,12,12,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,T,1,*,*,*,*
170,T,12,12,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,T,1,*,*,*,*
171,T,12,12,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
172,T,12,12,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
173,T,12,12,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
174,T,12,12,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
175,T,12,12,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
176,T,12,12,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
177,T,12,12,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
178,T,12,12,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
179,T,12,12,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
180,T,13,13,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000221416,*,*,*,*
181,T,13,13,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,T,1,*,*,*,*
182,T,12,12,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
183,T,13,13,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,F,1,*,*,*,*
184,T,13,13,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,T,1,*,*,*,*
185,T,13,13,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,T,1,*,*,*,*
186,T,13,13,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
187,T,13,13,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
188,T,13,13,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
189,T,13,13,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
190,T,13,13,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
191,T,13,13,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
192,T,13,13,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
193,T,13,13,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
194,T,13,13,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
195,T,14,14,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000221416,*,*,*,*
196,T,14,14,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,T,1,*,*,*,*
197,T,14,14,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
198,T,13,13,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
199,T,14,14,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,F,1,*,*,*,*
200,T,14,14,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,T,1,*,*,*,*
201,T,14,14,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
202,T,14,14,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
203,T,14,14,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
204,T,14,14,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
205,T,14,14,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
206,T,14,14,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
207,T,14,14,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
208,T,14,14,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
209,T,14,14,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
210,T,15,15,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000221416,*,*,*,*
211,T,15,15,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,T,1,*,*,*,*
212,T,15,15,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
213,T,15,15,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,T,1,*,*,*,*
214,T,14,14,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
215,T,15,15,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,F,1,*,*,*,*
216,T,15,15,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
217,T,15,15,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
218,T,15,15,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
219,T,15,15,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
220,T,15,15,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
221,T,15,15,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
222,T,15,15,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
223,T,15,15,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
224,T,15,15,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
225,T,16,16,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000221416,*,*,*,*
226,T,16,16,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,T,1,*,*,*,*
227,T,16,16,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
228,T,16,16,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,T,1,*,*,*,*
229,T,16,16,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,T,1,*,*,*,*
230,T,15,15,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
231,T,16,16,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,F,1,*,*,*,*
232,T,16,16,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
233,T,16,16,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
234,T,16,16,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
235,T,16,16,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
236,T,16,16,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
237,T,16,16,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
238,T,16,16,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
239,T,16,16,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
240,T,17,17,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000153056,*,*,*,*
241,T,17,17,*,*,*,F,T,LinSis,Atacama 220 -> Esmeralda 220,T,1,*,*,*,*
242,T,17,17,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
243,T,17,17,*,*,*,F,T,LinSis,Alto Norte 110 -> Negro 110,T,1,*,*,*,*
244,T,17,17,*,*,*,F,T,LinSis,Alto Norte 110 -> La Negra 110,T,1,*,*,*,*
245,T,17,17,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
246,T,16,16,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
247,T,17,17,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,F,1,*,*,*,*
248,T,17,17,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
249,T,17,17,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
250,T,17,17,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
251,T,17,17,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
252,T,17,17,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
253,T,17,17,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
254,T,17,17,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
