LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
111,Rahue 220->Valdivia 220,T,*,MesAbr-2018,Rahue 220,Valdivia 220,*,F,F,101,F,F,182,182,T,T,T,182,182,220,10.648,42.108,T,5,1,T,TxT,Iny,F,F,*,11.315,0.253,30,Transelec,SIC
112,Puerto Montt 220->Rahue 220,T,*,MesNov-2016,Puerto Montt 220 Aux,Rahue 220,*,T,T,101,F,F,183,183,T,T,T,183,183,220,10.987,45.593,T,5,1,T,TxT,Iny,F,F,*,11.404,0.258,30,Transelec,SIC
113,Puerto Montt 220->Rahue 220 III,T,MesDic-2016,MesAbr-2020,Puerto Montt 220 Aux,Rahue 220,*,T,T,101,F,F,366,366,T,T,T,183,183,220,6.71344,22.19468,T,5,1,T,TxT,Iny,F,F,*,11.404,0.258,30,Transelec,SIC
114,Puerto Montt 220 Aux->Frutillar Norte 220,T,MesMay-2020,*,Puerto Montt 220 Aux,Frutillar Norte 220,*,T,T,101,F,F,366,366,T,T,T,366,366,220,2.835067568,9.372753378,T,5,1,T,TxT,Iny,F,F,*,11.404,0.258,30,Transelec,SIC
115,Frutillar Norte 220->Frutillar Norte 220 Aux,T,MesMay-2020,*,Frutillar Norte 220,Frutillar Norte 220 Aux,*,F,T,101,F,F,366,366,T,T,T,183,183,220,0,0.0001,T,5,1,T,TxT,Iny,F,F,*,11.404,0.258,30,Transelec,SIC
116,Frutillar Norte 220 Aux->Rahue 220,T,MesMay-2020,*,Frutillar Norte 220 Aux,Rahue 220,*,T,T,101,F,F,366,366,T,T,T,366,366,220,3.878372432,12.82192662,T,5,1,T,TxT,Iny,F,F,*,11.404,0.258,30,Transelec,SIC
117,Pichirropulli 220->Valdivia 220,T,MesMay-2018,MesAgo-2018,Pichirropulli 220 Aux,Valdivia 220,*,F,F,101,F,F,290,290,T,T,T,145,145,220,4.73,12.49,T,3,1,T,TxT,Ret,F,F,*,10.774,0.25,30,CNE,SIC
118,Pichirropulli 220->Rahue 220,T,MesMay-2018,MesDic-2027,Pichirropulli 220,Rahue 220,*,T,F,101,F,F,366,366,T,T,T,183,183,220,5.022643363,19.86227148,T,3,1,T,TxT,Iny,F,F,*,6.465,0.15,30,CNE,SIC
119,Ciruelos 220->Pichirropulli 220,T,MesMay-2018,MesAbr-2020,Ciruelos 220,Pichirropulli 220 Aux,*,T,T,101,F,F,580,580,T,T,F,290,290,220,3.34,13.323,T,3,1,T,TxT,Iny,F,F,*,36.678,0.513,30,CNE,SIC
120,Ciruelos 220->Cerros de Huichahue 220 Aux II,T,MesMay-2020,*,Ciruelos 220,Cerros de Huichahue 220 Aux,*,T,T,101,F,F,580,580,T,T,F,290,290,220,2.374216867,9.470566265,T,3,1,T,TxT,Iny,F,F,*,36.678,0.513,30,CNE,SIC
121,Cerros de Huichahue 220 Aux->Cerros de Huichahue 220 II,T,MesMay-2020,*,Cerros de Huichahue 220 Aux,Cerros de Huichahue 220,*,F,F,101,F,F,580,580,T,T,T,290,290,220,0,0.0001,T,3,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
122,Cerros de Huichahue 220->Pichirropulli 220 Aux II,T,MesMay-2020,*,Cerros de Huichahue 220,Pichirropulli 220 Aux,*,F,F,101,F,F,580,580,T,T,F,290,290,220,0.965783133,3.852433735,T,3,1,T,TxT,Iny,F,F,*,36.678,0.513,30,CNE,SIC
123,Pichirropulli 220->Pichirropulli 220 Aux,T,MesMay-2018,*,Pichirropulli 220,Pichirropulli 220 Aux,*,F,F,101,F,F,944,944,T,T,T,435,435,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
124,Pichirropulli 220->Puerto Montt 220,T,MesJul-2021,MesDic-2027,Pichirropulli 220,Puerto Montt 220 Aux,*,T,T,101,F,F,1320,1320,T,T,T,660,660,220,1.61,19.73,T,3,1,T,TxT,Ret,F,F,*,32.69,0.458,30,CNE,SIC
125,Charrua 220->Nueva Charrua 220,T,MesDic-2018,*,Charrua 220,Nueva Charrua 220,*,F,F,101,F,F,2000,2000,T,T,T,1000,1000,220,0.1,1.44,T,5,1,T,TxT,Ret,F,F,*,61.5,1.535,30,CNE,SIC
126,Nueva Charrua 500->Nueva Charrua 220,T,MesDic-2017,*,Nueva Charrua 500,Nueva Charrua 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,61.5,1.535,30,CNE,SIC
127,Nueva Charrua 500->Ancoa 500 Aux Sur,T,MesDic-2017,*,Nueva Charrua 500,Ancoa 500 Aux Sur,*,F,F,101,F,F,2600,2600,T,T,T,1600,1600,500,2.2466,14.7003,T,5,1,T,TxT,Ret,F,F,*,61.5,1.535,30,CNE,SIC
128,Nueva Charrua 500->Charrua 500,T,MesDic-2017,*,Charrua 500,Nueva Charrua 500,*,F,F,101,F,F,2600,2600,T,T,T,1300,1300,500,0.191287859,1.251660825,T,5,1,T,TxT,Ret,F,F,*,61.5,1.535,30,CNE,SIC
129,Charrua 500->Ancoa 500 Aux Sur III,T,MesFeb-2018,*,Charrua 500,Ancoa 500 Aux Sur,*,F,F,101,F,F,1500,1500,T,T,T,1500,1500,500,4.8758,31.904,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,Transelec,SIC
130,Puerto Montt 500->Puerto Montt 220,T,MesEne-2028,*,Puerto Montt 500,Puerto Montt 220,*,T,T,101,F,F,771,771,T,T,T,771,771,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,16.0925,0.3475,30,CNE,SIC
131,Puerto Montt 220->Puerto Montt 220 Aux I,T,*,MesJun-2021,Puerto Montt 220,Puerto Montt 220 Aux,*,T,T,101,F,F,366,366,T,T,T,183,183,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
132,Puerto Montt 220->Puerto Montt 220 Aux II,T,MesJul-2021,*,Puerto Montt 220,Puerto Montt 220 Aux,*,T,T,101,F,F,732,732,T,T,T,549,549,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
133,Colbun 220->Ancoa 220,T,*,*,Colbun 220,Ancoa 220,*,F,F,101,T,F,600,600,T,T,T,600,600,220,0,0.0001,T,3,1,T,TxT,Cmn,F,F,*,0,0,30,Colbun S.A.,SIC
134,Ancoa 500->Ancoa 500 Aux Sur,T,MesDic-2017,*,Ancoa 500,Ancoa 500 Aux Sur,*,F,F,101,F,F,4500,4500,T,T,T,3000,3000,500,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,Transelec,SIC
135,Los Changos 500->Cumbre 500,T,MesAgo-2017,*,Los Changos 500,Cumbre 500,*,F,F,101,F,F,3000,3000,T,T,T,1500,1500,500,4.295,18.71645,T,3,1,T,TxT,Lat,F,F,*,600,13,30,CNE,CNE
