LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux,LinAux
33,Maitencillo110->Algarrobo 110,T,*,*,Maitencillo 110,Algarrobo 110,*,F,F,101,F,F,46,46,T,F,F,46,46,110,9.5106,12.2331,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
34,Algarrobo 110->Dos Amigos 110,T,*,*,Algarrobo 110,Dos Amigos 110,*,F,F,101,F,F,78,78,T,F,F,78,78,110,7.6956,9.9704,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
35,Dos Amigos 110->Pajonales 110,T,*,*,Dos Amigos 110,Pajonales 110,*,F,F,101,F,F,78,78,T,F,F,78,78,110,4.0898,5.2877,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
36,Pajonales 110->Incahuasi 110,T,*,*,Pajonales 110,Incahuasi 110,*,F,F,101,F,F,78,78,T,F,F,78,78,110,6.776,8.7846,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
37,Incahuasi 110->Romeral 110,F,*,*,Incahuasi 110,Romeral 110,*,F,F,101,F,F,78,78,T,F,F,78,78,110,19.9771,25.8698,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
38,Romeral 110->Las Compañias 110,T,*,*,Romeral 110,Las Compañias 110,*,F,F,101,F,F,78,78,T,F,F,78,78,110,4.3439,5.6265,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
39,Las Compañias 110->Pan de Azucar 110,T,*,*,Las Compañias 110,Pan de Azucar 110,*,F,F,101,F,F,78,78,F,F,F,78,78,110,4.4044,8.6878,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
40,Pan de Azucar 110->El Indio 110,T,*,*,Pan de Azucar 110,EI Indio 110,BarB,F,F,101,F,F,29,29,F,F,F,29,29,110,51.304,86.5876,T,3,1,F,STx,Cmn,F,F,*,10,0.1,30,Transelec,SIC,TxA,Ln,110
41,Cardones 220->Maitencillo 220,T,*,MesAgo-2016,Cardones 220,Maitencillo 220,*,F,F,101,F,F,591,591,T,T,T,420,420,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC,TxT,Ln,220
42,Cardones 220->Maitencillo 220 II,T,MesSep-2016,MesDic-2017,Cardones 220,Maitencillo 220,*,F,F,101,F,F,591,591,T,T,T,520,520,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC,TxT,Ln,220
43,Cardones 220->Maitencillo 220 III,T,MesEne-2018,MesOct-2019,Cardones 220,Maitencillo 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC,TxT,Ln,220
44,Cardones 220->Algarrobal 220,T,MesNov-2019,*,Cardones 220,Algarrobal 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,2.2022,8.78944,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC,TxT,Ln,220
45,Algarrobal 220->Algarrobal 220 Aux,T,MesNov-2019,*,Algarrobal 220,Algarrobal 220 Aux,*,F,F,101,F,F,660,660,T,T,T,660,660,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
46,Algarrobal 220 Aux->Maitencillo 220,T,MesNov-2019,*,Algarrobal 220 Aux,Maitencillo 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,2.2022,8.78944,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC,TxT,Ln,220
47,Maitencillo 220->Don Hector 220,T,*,MesDic-2017,Maitencillo 220,Don Hector 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,3.771918457,15.02149585,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,220
48,Don Hector 220->Don Hector 220 Aux,T,*,MesDic-2017,Don Hector 220,Don Hector 220 Aux,*,F,F,101,F,F,394,394,T,T,T,394,197,220,0,0.0001,T,5,1,F,TxT,Iny,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,220
49,Don Hector 220 Aux->Punta Colorada 220,T,*,MesDic-2017,Don Hector 220 Aux,Punta Colorada 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,1.590342604,6.333467992,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC,TxT,Ln,220
50,Punta Colorada 220->Pan de Azucar 220,T,*,MesDic-2017,Punta Colorada 220,Pan de Azucar 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,4.323992158,17.22010456,T,5,1,T,TxT,Iny,F,F,*,16.969,0.4285,30,Transelec,SIC,TxT,Ln,220
51,Maitencillo 220->Maitencillo 110,T,*,*,Maitencillo 220,Maitencillo 110,BarB,F,F,101,F,F,76.44,76.44,T,F,F,76.44,76.44,220,2.5168,74.3424,T,3,1,F,STx,Cmn,F,F,*,3.14,0.097,30,Transelec,SIC,STx B,Tr,220/110
52,Guacolda 220->Maitencillo 220,T,*,*,Guacolda 220,Maitencillo 220,BarA,F,F,101,F,F,680,680,F,F,F,340,340,220,0.7986,3.7268,T,3,1,F,TxA,Cmn,F,F,*,12.538,0.322,30,Otro,SIC,TxA,Ln,220
53,Pan de Azucar 220->Pan de Azucar 110 1,T,*,MesAbr-2017,Pan de Azucar 220,Pan de Azucar 110,BarB,F,F,101,F,F,240,240,F,F,F,150,150,220,1.2584,25,T,3,1,F,STx,Cmn,F,F,*,6.202,0.192,30,Transelec,SIC,STx B,Tr,220/110
54,Pan de Azucar 220->Pan de Azucar 110 2,T,MesMay-2017,*,Pan de Azucar 220,Pan de Azucar 110,BarB,F,F,101,F,F,315,315,F,F,F,150,150,220,1.2584,20.69,T,3,1,F,STx,Cmn,F,F,*,6.202,0.192,30,Transelec,SIC,STx B,Tr,220/110
55,Pan de Azucar 220->Pan de Azucar 110 3,T,MesEne-2018,*,Pan de Azucar 220,Pan de Azucar 110,BarB,F,F,101,F,F,150,150,F,F,F,150,150,220,0.2834,45.09266667,T,3,1,F,STx,Cmn,F,F,*,6.202,0.192,30,Transelec,SIC,STx B,Tr,220/110
56,Pan de Azucar 110->Ovalle 110,T,*,*,Pan de Azucar 110,Ovalle 110,*,F,F,101,F,F,67,67,F,F,F,67,67,110,24.3452,33.6985,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
