CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
78,F,*,*,14,Llano de Llampos FV,CenPotMax,EtaMes,16.90227273,5.081666667,44.485,11.92727273,23.2,22.60833333,31.15681818,11.8825,20.92,23.33181818,16.8675,11.825
79,F,*,*,15,Llano de Llampos FV,CenPotMax,EtaMes,0,0,1.88,0,0.056666667,0,0,0,0,0,0,0.445454545
80,F,*,*,16,Llano de Llampos FV,CenPotMax,EtaMes,0,0,1.91,0.002272727,0.076190476,0,0,0,0.03,0,0,0
81,F,*,*,1,Salvador FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
82,F,*,*,2,Salvador FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
83,F,*,*,3,Salvador FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
84,F,*,*,4,Salvador FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
85,F,*,*,5,Salvador FV,CenPotMax,EtaMes,0,8.5825,9.122,12.07433333,9.58535,7.325722222,16.72814815,6.940945,6.663636364,3.266666667,0.85625,0.3
86,F,*,*,6,Salvador FV,CenPotMax,EtaMes,0.004545455,6.798240476,9.03275,10.57043182,7.937666667,7.414388889,14.50931818,6.933775,7.2775,3.020454545,0.78,0.34
87,F,*,*,7,Salvador FV,CenPotMax,EtaMes,37.996875,41.091,39.74725,42.04638889,49.460975,54.72422222,53.10585185,50.267,47.63333333,45.42777778,40.83125,34.48636364
88,F,*,*,8,Salvador FV,CenPotMax,EtaMes,37.75340909,40.10555714,39.2475,40.85660227,44.2654881,54.51907407,55.05165152,49.72865,48.24333333,45.49545455,40.1625,34.5925
89,F,*,*,9,Salvador FV,CenPotMax,EtaMes,49.571875,42.99175,41.49333333,41.76492593,49.9486,55.705125,53.79888889,48.1941,44.1,50.45555556,59.60535714,54.76666667
90,F,*,*,10,Salvador FV,CenPotMax,EtaMes,49.30340909,42.98690476,40.87333333,42.71234848,46.5732381,55.553875,53.79968182,48.91758,44.047,57.3525974,59.32571429,55.83666667
91,F,*,*,11,Salvador FV,CenPotMax,EtaMes,47.75,37.6865,42.32,35.79327778,45.406,54.50320833,54.36416667,44.31476667,42.63030303,45.64444444,53.99375,47.25757576
92,F,*,*,12,Salvador FV,CenPotMax,EtaMes,47.72727273,38.53333333,41.428,38.75568182,41.93316667,54.46013889,51.40677273,45.37418333,43.67666667,51.53636364,51.47,50.46
93,F,*,*,13,Salvador FV,CenPotMax,EtaMes,11.73125,4.447,30.88,8.533333333,19.5379,22.76379167,27.86794444,8.695,15.7,16.31666667,13.45,8.609090909
94,F,*,*,14,Salvador FV,CenPotMax,EtaMes,12.24090909,3.94682619,31.4655,8.431818182,19.7047619,20.79561111,24.87190909,10.0375,13.49,17.03636364,12.3975,9.55
95,F,*,*,15,Salvador FV,CenPotMax,EtaMes,0,0,1.2975,0,0.278533333,0.1625,0,0,0,0,0,0.003030303
96,F,*,*,16,Salvador FV,CenPotMax,EtaMes,0,0,1.30625,0,0.298777778,0,0,0,0,0,0,0.001666667
97,F,*,*,1,Chañares,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
98,F,*,*,2,Chañares,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
99,F,*,*,3,Chañares,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
100,F,*,*,4,Chañares,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
101,F,*,*,5,Chañares,CenPotMax,EtaMes,0,2.704225,3.06863,3.684811111,2.46,1.774444444,4.397037037,1.314,0.813636364,0.65,0.08125,0.090909091
102,F,*,*,6,Chañares,CenPotMax,EtaMes,0,2.244561905,2.71396,2.914422727,1.941428571,2.010925926,4.208030303,2.11425,0.7775,0.479545455,0.21,0.005
103,F,*,*,7,Chañares,CenPotMax,EtaMes,15.45,18.00072,17.981955,20.521,21.35925,25.09444444,25.75888889,19.22766667,13.96666667,13.49444444,10.3375,8.759090909
104,F,*,*,8,Chañares,CenPotMax,EtaMes,15.03068182,17.17732063,18.2685625,19.28197045,19.15988095,23.88092593,27.76257576,21.109,13.44,10.73181818,9.71,8.195
105,F,*,*,9,Chañares,CenPotMax,EtaMes,26.2875,20.21235,20.52666667,21.90285556,23.46966667,28.14041667,29.02138889,25.6236,17.49454545,20.45079365,25.4625,22.73030303
106,F,*,*,10,Chañares,CenPotMax,EtaMes,24.14772727,20.30306667,20.14816667,21.97480909,21.71650794,26.75097222,29.60477273,23.6359,18.694,22.41103896,23.93142857,22.5275
107,F,*,*,11,Chañares,CenPotMax,EtaMes,22.88125,15.99521,20.7,17.16222222,19.147,26.22166667,29.62722222,21.70033333,17.49090909,17.89444444,20.7625,18.03636364
108,F,*,*,12,Chañares,CenPotMax,EtaMes,22.56590909,16.55989048,20.133,18.27045455,18.89952381,24.88527778,28.03068182,21.606,18.92,19.61590909,19.5975,19.98666667
109,F,*,*,13,Chañares,CenPotMax,EtaMes,3.8625,1.555,12.16,3.611111111,5.238,5.871666667,9.267222222,2.0335,3.704545455,4.005555556,3.38125,1.845454545
110,F,*,*,14,Chañares,CenPotMax,EtaMes,3.979545455,1.319007143,12.545,3.445454545,6.521904762,5.632777778,8.807272727,2.3385,3.52,4.422727273,2.98,2.32
111,F,*,*,15,Chañares,CenPotMax,EtaMes,0,0,0.48,0,0.033,0,0,0,0,0,0,0
112,F,*,*,16,Chañares,CenPotMax,EtaMes,0,0,0.50875,0,0.047301587,0,0,0,0,0,0,0
113,F,*,*,1,Javiera,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
114,F,*,*,2,Javiera,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
