ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
187,1,1,MesEne,19,43,3109.037
188,1,1,MesEne,20,47,3110.511
189,1,1,MesEne,21,10,3112.829
190,1,1,MesEne,22,16,3154.939
191,1,1,MesEne,23,56,3157.264
192,1,1,MesEne,24,11,3164.825
193,1,1,MesEne,25,12,3166.119
194,1,1,MesEne,26,44,3167.055
195,1,1,MesEne,27,48,3179.873
196,1,1,MesEne,28,8,3183.006
197,1,1,MesEne,29,22,3186.422
198,1,1,MesEne,30,17,3200.425
199,1,1,MesEne,31,18,3205.665
200,1,1,MesEne,32,27,3232.269
201,1,1,MesEne,33,32,3235.313
202,1,1,MesEne,34,42,3242.512
203,1,1,MesEne,35,19,3248.205
204,1,1,MesEne,36,28,3253.103
205,1,1,MesEne,37,26,3262.688
206,1,1,MesEne,38,40,3263.231
207,1,1,MesEne,39,49,3265.564
208,1,1,MesEne,40,41,3278.07
209,1,1,MesEne,41,25,3295.563
210,1,1,MesEne,42,13,3303.853
211,1,1,MesEne,43,4,3305.896
212,1,1,MesEne,44,34,3372.944
213,1,1,MesEne,45,24,3376.487
214,1,1,MesEne,46,33,3378.253
215,1,1,MesEne,47,7,3388.344
216,1,1,MesEne,48,45,3394.621
217,1,1,MesEne,49,1,3411.163
218,1,1,MesEne,50,35,3413.508
219,1,1,MesEne,51,5,3415.955
220,1,1,MesEne,52,29,3425.778
221,1,1,MesEne,53,14,3444.201
222,1,1,MesEne,54,30,3480.968
223,1,1,MesEne,55,6,3549.995
224,1,1,MesEne,56,55,5204.314
225,1,1,MesFeb,1,50,2112.187
226,1,1,MesFeb,2,51,2261.774
227,1,1,MesFeb,3,52,2425.901
228,1,1,MesFeb,4,15,2536.791
229,1,1,MesFeb,5,53,2550.203
230,1,1,MesFeb,6,19,2611.922
231,1,1,MesFeb,7,16,2622.434
232,1,1,MesFeb,8,2,2629.485
233,1,1,MesFeb,9,3,2638.391
234,1,1,MesFeb,10,39,2662.626
235,1,1,MesFeb,11,54,2679.541
236,1,1,MesFeb,12,38,2689.838
237,1,1,MesFeb,13,47,2694.871
238,1,1,MesFeb,14,31,2698.112
239,1,1,MesFeb,15,30,2699.334
240,1,1,MesFeb,16,37,2699.539
241,1,1,MesFeb,17,36,2710.319
242,1,1,MesFeb,18,29,2718.268
243,1,1,MesFeb,19,17,2719.546
244,1,1,MesFeb,20,48,2742.927
245,1,1,MesFeb,21,44,2750.876
246,1,1,MesFeb,22,21,2752.603
247,1,1,MesFeb,23,33,2753.001
248,1,1,MesFeb,24,1,2753.303
249,1,1,MesFeb,25,12,2771.879
250,1,1,MesFeb,26,35,2792.535
251,1,1,MesFeb,27,42,2803.613
252,1,1,MesFeb,28,7,2822.074
253,1,1,MesFeb,29,10,2829.821
254,1,1,MesFeb,30,46,2830.33
255,1,1,MesFeb,31,49,2834.483
256,1,1,MesFeb,32,45,2835.035
257,1,1,MesFeb,33,34,2839.407
258,1,1,MesFeb,34,32,2840.76
259,1,1,MesFeb,35,20,2845.482
260,1,1,MesFeb,36,56,2853.676
261,1,1,MesFeb,37,9,2853.683
262,1,1,MesFeb,38,18,2855.41
263,1,1,MesFeb,39,41,2856.798
264,1,1,MesFeb,40,13,2864.649
265,1,1,MesFeb,41,8,2871.021
266,1,1,MesFeb,42,28,2872.311
267,1,1,MesFeb,43,22,2880.62
268,1,1,MesFeb,44,26,2899.406
269,1,1,MesFeb,45,11,2905.852
270,1,1,MesFeb,46,4,2911.284
271,1,1,MesFeb,47,5,2921.947
272,1,1,MesFeb,48,14,2923.988
273,1,1,MesFeb,49,43,2929.843
274,1,1,MesFeb,50,40,2930.227
275,1,1,MesFeb,51,27,2933.453
276,1,1,MesFeb,52,25,2946.313
277,1,1,MesFeb,53,24,2978.67
278,1,1,MesFeb,54,23,3003.352
279,1,1,MesFeb,55,6,3016.563
280,1,1,MesFeb,56,55,4292.412
281,1,1,MesMar,1,39,1774.092
282,1,1,MesMar,2,37,1781.841
283,1,1,MesMar,3,54,1800.843
284,1,1,MesMar,4,20,1801.923
285,1,1,MesMar,5,9,1819.159
286,1,1,MesMar,6,52,1834.495
287,1,1,MesMar,7,15,1847.892
288,1,1,MesMar,8,16,1860.838
289,1,1,MesMar,9,10,1862.334
290,1,1,MesMar,10,17,1872.201
291,1,1,MesMar,11,21,1873.68
292,1,1,MesMar,12,23,1875.043
293,1,1,MesMar,13,31,1882.892
294,1,1,MesMar,14,56,1885.201
295,1,1,MesMar,15,2,1886.266
296,1,1,MesMar,16,3,1898.936
297,1,1,MesMar,17,47,1902.757
298,1,1,MesMar,18,12,1913.201
299,1,1,MesMar,19,48,1932.822
300,1,1,MesMar,20,24,1932.966
301,1,1,MesMar,21,13,1951.1
302,1,1,MesMar,22,27,1952.542
303,1,1,MesMar,23,19,1967.479
304,1,1,MesMar,24,18,1979.976
305,1,1,MesMar,25,8,1980.111
306,1,1,MesMar,26,22,1985.215
307,1,1,MesMar,27,51,1989.056
308,1,1,MesMar,28,7,1996.715
309,1,1,MesMar,29,5,1998.214
310,1,1,MesMar,30,1,1998.744
311,1,1,MesMar,31,26,1999.322
312,1,1,MesMar,32,44,2004.92
313,1,1,MesMar,33,25,2011.181
314,1,1,MesMar,34,4,2013.141
315,1,1,MesMar,35,46,2013.876
316,1,1,MesMar,36,32,2016.232
317,1,1,MesMar,37,41,2033.308
