DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
36,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046394712,1.02727388,1.032256039,1.020256031,1.034209805,1.03404708,1.0219515,1.02365217,0.963461006,1.043467178,1.032278311,1.02488343
37,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024981816,1.027198572,1.01426271,1.021864182,1.025019237,1.045809219,1.011147216,0.991415599,1.101539386,0.98291418,1.018974875,1.010915487
38,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026469268,0.993974665,1.003650442,0.997766634,1.015881673,1.01936517,1.006806995,1.016735656,0.964944378,1.039919596,1.009123114,1.006112852
39,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008557057,1.036872928,1.001433516,1.006931858,0.992430373,1.030457145,0.98665193,0.969756355,1.082018217,0.927554389,0.976747496,0.988627705
40,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971957876,0.96879081,0.956171991,0.96771178,0.966339241,0.96697036,0.966745451,0.961424379,0.924289736,0.997314019,0.974541684,0.974298453
41,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034273222,1.050894365,1.003913189,1.017823113,0.997234791,1.057479249,0.995310621,0.99579339,1.094965979,0.931871983,0.996235705,0.999602636
42,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962483838,0.965946981,0.951690322,0.982138798,0.959803401,0.918448343,0.965947973,0.94963035,0.918871978,0.97832474,0.95469659,0.956707102
43,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050454709,1.049638671,1.004450275,1.025993711,1.007799329,1.044082987,1.001843506,1.019576899,1.104082389,0.963957499,1.012810247,1.000045428
44,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946507812,0.943630891,0.967032033,0.979226121,0.971378198,0.899795628,0.969146907,0.967276229,0.931574116,0.982387239,0.977165371,0.966497064
45,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020493062,1.062172415,0.992244138,1.034285131,1.013021146,1.049797954,0.998277709,1.03747118,1.111172625,0.97601535,1.013476519,1.024628741
46,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913579821,0.917887293,0.973326365,0.958678509,0.93788202,0.855942877,0.983090142,0.994280202,0.950438124,0.989862986,0.979763183,0.978965005
47,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050407624,1.066562995,1.00100462,1.038275499,1.019676517,1.104276787,1.021286694,1.063401536,1.145103489,1.031280498,1.058336641,1.046378847
