DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
53,F,2024,2024,Alto Jahuel 220,0,F,EtaMes,11.47395017,12.29350262,11.65830704,12.20926956,12.01517489,11.77019144,12.18330542,11.83221913,12.36890072,12.38899404,11.16488494,12.2452252
54,F,2025,2025,Alto Jahuel 220,0,F,EtaMes,11.73436284,12.5755382,11.92417865,12.48881092,12.28896897,12.03937603,12.46207797,12.1032404,12.65316889,12.75289018,11.49265498,12.60392245
55,F,2026,2026,Alto Jahuel 220,0,F,EtaMes,12.07729971,12.94618004,12.27397954,12.85631658,12.64924805,12.39334263,12.82861693,12.45951643,13.02661797,13.07859284,11.78599602,12.9248164
56,F,2027,2027,Alto Jahuel 220,0,F,EtaMes,12.38396718,13.27812214,12.58699587,13.18535787,12.97160513,12.71021203,13.15676406,12.77852194,13.36115662,13.41049928,12.08491829,13.25178747
57,F,2028,2028,Alto Jahuel 220,0,F,EtaMes,12.69641367,13.61643236,12.90595845,13.52069088,13.30007786,13.03312916,13.49117937,13.10363144,13.70213179,13.72624831,12.36927094,13.56273921
58,F,2029,2029,Alto Jahuel 220,0,F,EtaMes,12.99346883,13.93840602,13.20934741,13.83977061,13.61248924,13.34036205,13.80936707,13.41299535,14.02669584,13.73771604,12.37941856,13.57300577
59,F,2030,2030,Alto Jahuel 220,0,F,EtaMes,13.00243627,13.95143229,13.21990073,13.85207229,13.62312127,13.35187781,13.8214454,13.4250447,14.0403707,13.69336954,12.3392704,13.52812666
60,F,2031,*,Alto Jahuel 220,0,F,EtaMes,12.95857568,13.90777687,13.17674333,13.80809557,13.57840422,13.30914718,13.77736965,13.38255066,13.99700287,13.83569478,12.46733264,13.66765587
61,F,2017,2017,Candelaria 220,0,F,EtaMes,126.4655441,125.7225562,134.4016645,132.306425,117.1505638,140.5789026,172.223091,198.8573987,194.8313459,228.940414,208.7642285,160.8920585
62,F,2018,2018,Candelaria 220,0,F,EtaMes,134.7510973,133.9594316,143.2071629,140.9746511,124.825834,149.7891107,183.5065089,211.8857976,207.5959728,238.878167,217.8261818,167.875996
63,F,2019,2019,Candelaria 220,0,F,EtaMes,140.6003185,139.7742885,149.4234415,147.0940217,130.2442234,156.2910959,191.4720853,221.0832507,216.6072149,245.5294644,223.8913101,172.5503168
64,F,2020,2020,Candelaria 220,0,F,EtaMes,144.5151783,143.6661484,153.5839714,151.1896915,133.8707292,160.642848,196.803413,227.2390685,222.6384024,249.6126677,227.6146666,175.4198625
65,F,2021,2021,Candelaria 220,0,F,EtaMes,146.9184942,146.0553448,156.1381031,153.7040059,136.0970258,163.3143702,200.0762925,231.0180989,226.3409228,254.2989716,231.8879734,178.7132482
66,F,2022,2022,Candelaria 220,0,F,EtaMes,149.6767865,148.7974321,159.0694872,156.5896915,138.6521526,166.3804837,203.8325855,235.3553027,230.5903159,258.7398354,235.9374703,181.8341464
67,F,2023,2023,Candelaria 220,0,F,EtaMes,152.2906163,151.3959056,161.8473432,159.3242424,141.0734575,169.2860128,207.3921467,239.4653502,234.6171517,264.5448021,241.2308537,185.9136928
68,F,2024,2024,Candelaria 220,0,F,EtaMes,155.7073378,154.7925537,165.478475,162.8987671,144.238516,173.0840351,212.0451005,244.8378835,239.880913,272.3781727,248.3738808,191.4187371
69,F,2025,2025,Candelaria 220,0,F,EtaMes,160.3179492,159.3760777,170.3784171,167.7223221,148.5095269,178.2091836,218.3239154,252.0877174,246.9839673,282.2277629,257.355441,198.3407165
70,F,2026,2026,Candelaria 220,0,F,EtaMes,166.115279,165.1393481,176.539548,173.7874048,153.8798471,184.6534864,226.2188252,261.2035753,255.9152662,291.3381334,265.6629278,204.7431958
71,F,2027,2027,Candelaria 220,0,F,EtaMes,171.4775146,170.4700803,182.2382811,179.3972981,158.8471203,190.6141391,233.5212156,269.6352807,264.1762639,300.6884699,274.1892327,211.3143156
72,F,2028,2028,Candelaria 220,0,F,EtaMes,176.9809907,175.9412234,188.0871181,185.1549553,163.9452309,196.7317947,241.0159501,278.2890761,272.6548552,309.7772193,282.4770038,217.7016003
73,F,2029,2029,Candelaria 220,0,F,EtaMes,182.3305003,181.2593046,193.7723267,190.751535,168.9007156,202.6783012,248.3010101,286.7007709,280.8962474,312.0528928,284.5521256,219.3008714
74,F,2030,2030,Candelaria 220,0,F,EtaMes,183.6699297,182.5908647,195.1958095,192.1528266,170.1414876,204.1672088,250.1250695,288.8069212,282.9597567,313.0619477,285.4722539,220.0100032
75,F,2031,*,Candelaria 220,0,F,EtaMes,184.2638451,183.1812909,195.8269951,192.7741724,170.6916574,204.8274043,250.9338744,289.7408078,283.8747359,318.3591957,290.3026632,223.732741
76,F,2017,2017,Cardones 220,0,F,EtaMes,155.3030916,161.7083646,149.8641279,160.6350771,158.5982948,158.1881885,162.5689476,160.9855098,164.5244183,170.444485,163.807283,168.8426914
77,F,2018,2018,Cardones 220,0,F,EtaMes,165.5651661,172.3863304,160.9058225,171.1277929,168.9869272,168.5796542,171.3239644,169.7598405,173.5476357,177.9036548,171.0876159,175.7300599
78,F,2019,2019,Cardones 220,0,F,EtaMes,172.4066352,179.6812441,166.5686999,178.7050836,176.4524572,175.9605039,178.1910015,176.4815074,180.3318304,182.1529083,172.8139294,180.5041428
79,F,2020,2020,Cardones 220,0,F,EtaMes,176.4367758,184.7044956,171.3643757,184.185991,181.1096011,181.6583448,182.7673739,181.0528218,185.7980896,185.2778642,177.5202001,183.0746716
80,F,2021,2021,Cardones 220,0,F,EtaMes,179.6561871,186.885764,173.3035541,185.9394192,183.5882313,183.2370608,185.7575033,183.9713056,188.6299977,188.4395887,180.5539204,186.2035259
81,F,2022,2022,Cardones 220,0,F,EtaMes,182.7253104,190.0792644,176.2515292,189.1164202,186.7257281,186.3664341,188.9303689,187.1132274,191.8461367,191.4113608,183.4057465,189.1448065
82,F,2023,2023,Cardones 220,0,F,EtaMes,185.6103246,193.0812686,179.021596,192.1028881,189.6751212,189.3080028,191.9128623,190.0665991,194.8688202,195.3828383,187.2155977,193.0740947
83,F,2024,2024,Cardones 220,0,F,EtaMes,189.4648465,197.0918299,182.726378,196.0927922,193.6152883,193.2383668,195.8977688,194.0127266,198.9091827,200.8391658,192.4484119,198.4708902
84,F,2025,2025,Cardones 220,0,F,EtaMes,194.759382,202.6004096,187.8194279,201.5731094,199.0270701,198.6373823,201.3715625,199.4333984,204.4610795,207.7641081,199.0887368,205.3192517
85,F,2026,2026,Cardones 220,0,F,EtaMes,201.4782664,209.5907329,194.2853478,208.5276371,205.8944782,205.4890568,208.318034,206.3125476,211.5079147,214.1257667,205.1895611,211.6112508
86,F,2027,2027,Cardones 220,0,F,EtaMes,207.651109,216.0130812,200.2239531,214.9170529,212.2039563,211.7837589,214.6998989,212.6325022,217.9811492,220.6452688,211.4419048,218.0595122
87,F,2028,2028,Cardones 220,0,F,EtaMes,213.9772224,222.5949238,206.3096005,221.4651318,218.6701273,218.2347336,221.2402061,219.1093443,224.6149012,226.9550269,217.4934955,224.3007658
88,F,2029,2029,Cardones 220,0,F,EtaMes,220.1001154,228.9654111,212.1985938,227.8029131,224.9287021,224.4783834,227.5703705,225.3780477,231.0349821,228.2636738,218.7525997,225.5995425
